sgRNA target	Number sgRNAs	Locus tag	Gene name	Gene product	Weighted mean fitness at 30% CO2	Weighted mean fitness at 4% CO2	Standard deviation of weighted mean fitness at 30% CO2	Standard deviation of weighted mean fitness at 4% CO2	adjusted p value for 30% CO2	adjusted p value for 4% CO2	Combined score for 30% CO2	Combined score for 4% CO2	Impact score
smpB	5	slr1639	smpB	SsrA-binding protein	-1.76186458764097	-2.20653887776066	1.05617128795276	1.26652335407119	0.130921992025113	0.0627282714324613	1.55570422323098	2.65344393614464	0.314432205962946
sll5079	5	sll5079	sll5079	hypothetical protein	-1.03040105928944	-1.47403024368187	1.13963913265988	1.4218913698444	1	0.830847581906481	0	0.118627948982064	0.313693204616143
slr1770	5	slr1770	slr1770	hypothetical protein	0.632109179702482	0.188588284067419	0.276475465652617	0.108275422262399	0.0881684801104733	0.914355054285718	0.66667711046591	0.0073332799640037	0.313616632901484
cysC	5	slr0676	cysC	adenylylsulfate kinase	-1.53966313328281	-1.98239217989748	0.627597216330053	0.760491215559322	0.0110077977849779	0.010310564376866	3.01512163198326	3.93845335812321	0.313056711089483
ubiA	5	slr0926	ubiA	4-hydroxybenzoate-octaprenyl transferase	-2.02382402829115	-2.46646656794938	0.84913148205611	1.07541028774081	0.0122270411707067	0.00942124926252689	3.87092496056715	4.99679366914041	0.312995541433972
menE	5	slr0492	menE	O-succinylbenzoic acid-CoA ligase	0.361730342507041	-0.0807916427940842	0.256391455650686	0.388191887178663	0.665258648332501	0.576431906113401	0.0640296965469144	0.019329561195538	0.312910296630559
slr0151	5	slr0151	slr0151	unknown protein	-1.07759279833176	-1.52002238052648	0.835467294825773	1.5550630942531	0.453523779275958	0.873632922859333	0.3700452990226	0.0891812451600178	0.312844957767421
gspE2	5	slr0079	pilB2	probable general secretion pathway protein E	-0.1075471144374	-0.549046116282486	0.319992365725897	0.437622459780016	0.381125238931649	0.20123938752781	0.0450549589731312	0.382293680371347	0.312186938091752
srrA	5	slr1897	srrA	periplasmic sugar-binding protein of ABC transp orter	0.726863642912856	0.285788440875045	0.478897564192014	0.227764051712672	0.594324564040631	0.914355054285718	0.164253970830546	0.0111129207086035	0.311887266374163
fecB3	5	slr1319	fecB	iron(III) dicitrate transport system substrate- binding protein	-0.938875943528528	-1.37991625877747	0.955617558239159	1.2074473840637	0.91906423382506	0.952507446680345	0.0344136851228776	0.0291598664749107	0.311862597689179
glyQ	5	slr0638	glyQ	glycyl-tRNA synthetase alpha chain	-2.87473535821518	-3.31539820059498	1.3816102676278	1.43587073966347	0.0110077977849779	0.00942124926252689	5.62959297875817	6.71663705265048	0.311595684063698
sll1006	5	sll1006	sll1006	unknown protein	0.677973147400129	0.238489196619773	0.339667849363347	0.180187593047313	0.190005636036717	0.873632922859333	0.488976957265542	0.0139924015489804	0.310762081819445
sll1039	5	sll1039	sll1039	hypothetical protein	0.692700612168091	0.254342504257275	0.389035118968799	0.117000986426309	0.130921992025113	0.647662559333708	0.611645909307634	0.0479820207529466	0.309965990691842
slr0142	5	slr0142	slr0142	hypothetical protein	0.532321192960173	0.0957494215286139	0.357411875750841	0.157345430556923	0.521743220241387	0.952507446680345	0.150403725641304	0.00202334042306155	0.308702860053879
slr0222	5	slr0222	hik25	two-component hybrid sensor and regulator	0.518679068050282	0.0825256802011764	0.44949090762395	0.259607444694714	0.41870951708492	0.972096826221706	0.196105899769988	0.00101427979172781	0.308407018185589
ssl0331	5	ssl0331	ssl0331	hypothetical protein	-1.72867870461952	-2.1647855348084	1.79598900830648	2.15444157637195	0.96476911582635	0.952507446680345	0.0269269498647176	0.0457454260287912	0.308374096948329
slr0033	5	slr0033	slr0033	glutamyl-tRNA(Gln) amidotransferase subunit C	-1.30109843458316	-1.73662794440551	0.854482417654306	0.931836147598559	0.116351752425167	0.0451178924440654	1.21552137991848	2.33689546935576	0.307965869802234
ssr3129	4	ssr3129	ssr3129	unknown protein	0.522468932633968	0.0902357830504116	0.267959008021133	0.0796830985608027	0.146923687918804	0.891443924977185	0.435168647265087	0.00450330430993069	0.305634991124152
sll1590	5	sll1590	hik20	two-component sensor histidine kinase	-2.88644977569102	-3.31560720560338	1.92809714069404	2.13696255858342	0.96476911582635	0.721165257323383	0.0449610955404026	0.470700853021463	0.303460128887618
fmt	5	slr0070	fmt	methionyl-tRNA formyltransferase	-2.12372806413211	-2.55276431261454	1.20572147396095	1.38772441001026	0.0540569593737855	0.0226205492561523	2.69107858959668	4.20056564554238	0.303374440676765
slr0666	5	slr0666	slr0666	unknown protein	0.526369763327955	0.0976682385074021	0.319534896020367	0.219002874923223	0.287103864635769	0.952507446680345	0.285271863054082	0.00206388813495012	0.303137755305626
sll8009	5	sll8009	sll8009	type I restriction-modification system M subunit	0.559272476753744	0.130797122736775	0.381292077501141	0.0937573236735485	0.698410020881592	0.873632922859333	0.0871847279846641	0.00767399902689131	0.302977828396706
slr1128	5	slr1128	slr1128	hypothetical protein	0.526339682573105	0.0979310375482221	0.414207756253242	0.363381850636413	0.665258648332501	0.914355054285718	0.0931671087423339	0.00380806113729597	0.302930658016035
pntB	5	slr1434	pntB	pyridine nucleotide transhydrogenase beta subun it	0.6355581104934	0.207658643849019	0.46140873678351	0.171706964437146	0.892734787732264	0.952507446680345	0.0313187411544871	0.00438816362114837	0.302570614530348
livG	5	sll0764	urtD	urea transport system ATP-binding protein	0.585876516028064	0.159223913795236	0.302849195551985	0.218357389001274	0.102132247396431	0.952507446680345	0.58050819480045	0.00336465929461195	0.301688948249719
sll0477	5	sll0477	sll0477	putative biopolymer transport ExbB-like protein	0.574438016532918	0.148596425513535	0.4801738853717	0.172700706634357	0.892734787732264	0.851068828310938	0.0283068931889247	0.0104069976007442	0.301115476721074
sll5081	5	sll5081	sll5081	hypothetical protein	0.445681334144054	0.0199586222402434	0.222864298086426	0.13269804098035	0.287103864635769	0.647662559333708	0.241541884389146	0.00376521820184205	0.301031416492311
slr2100	5	slr2100	slr2100	two-component response regulator	-0.124762170276704	-0.550095273245504	0.941169398022712	0.639656365194003	0.945895107585028	0.773956683279766	0.00301388234372384	0.0612164421752641	0.300755921372355
sll1863	5	sll1863	sll1863	unknown protein	0.396811193501582	-0.0280529971925456	0.419690152255348	0.422967051086426	0.594324564040631	0.830847581906481	0.0896699330584856	0.00225766705535081	0.300424350323152
slr1409	5	slr1409	slr1409	periplasmic WD-repeat protein	0.59310438531243	0.168424438414766	0.473465047668958	0.125221696413085	0.594324564040631	0.746352504788104	0.134027546094029	0.0213993363456631	0.300294070285282
petA	5	sll1317	petA	apocytochrome f;   component of cytochrome b6/f complex	-3.59083079336623	-4.01510409533568	2.30984176625228	1.55850611610134	0.116351752425167	0.00942124926252689	3.35465133535773	8.13416528130485	0.300006528899004
slr0552	5	slr0552	slr0552	hypothetical protein	0.605367518677164	0.181495886188987	0.776000063162896	0.46787411860464	0.381125238931649	1	0.253608001110451	0	0.299722505685002
sll1956	5	sll1956	sll1956	hypothetical protein	0.651448402458748	0.228503701968274	0.766507161994855	0.250339518103664	0.665258648332501	0.873632922859333	0.115312537058165	0.0134065425129767	0.299067065783727
ssl7004	5	ssl7004	ssl7004	hypothetical protein	0.427454261369247	0.00489909484752373	0.259263996784976	0.139634735402035	0.48928840640055	0.746352504788104	0.132696795536169	0.000622459421080513	0.298791623672922
ppiB	5	sll0227	ppiB	peptidyl-prolyl cis-trans isomerase B;  periplas mic protein	-1.20511555101729	-1.62677097426009	0.899736632499218	1.1643658679055	0.862463238140476	0.746352504788104	0.0774400110872539	0.206691021583373	0.298155409099071
slr0408	5	slr0408	slr0408	unknown protein	0.0141744929459263	-0.407189020032657	0.275108254439686	0.446133375670579	0.91906423382506	0.228418740933118	0.000519553771059784	0.261117397083353	0.297948997371742
fecC	5	slr1316	fecC	ABC-type iron(III) dicitrate transport system p ermease protein	0.576999756843366	0.15583323306023	0.480899753918884	0.213981811047145	0.732413180445005	0.914355054285718	0.0780356678569479	0.00605959554368698	0.29780970497582
slr2141	5	slr2141	slr2141	hypothetical protein	-1.82971640678873	-2.24976750213969	1.1737260796577	1.18111665241213	0.102132247396431	0.0381550422491474	1.81295091925277	3.19117835159275	0.297020977967501
cyp	5	slr1251	cyp	peptidyl-prolyl cis-trans isomerase	0.26633926940209	-0.153363831607027	0.376094201802957	0.391940093332325	0.91906423382506	0.851068828310938	0.00976243540612381	0.0107408843924707	0.296774908808569
slr1257	5	slr1257	slr1257	unknown protein	0.463948993167174	0.0442529406383978	0.251624122352749	0.202433207446011	0.265778382136691	0.934932621803461	0.266993527378973	0.00129305705168597	0.296769924780323
slr1115	5	slr1115	slr1115	probable methyltransferase	-0.0445629777101052	-0.463720005035557	0.660664331556	0.756736588169591	1	0.539930253869482	0	0.124120380288543	0.296388776403822
pstS	5	slr1247	pstS	phosphate-binding periplasmic protein precursor (PBP)	-1.54294590679898	-1.95903038069385	1.28870948084082	1.36435660326803	0.265778382136691	0.156197939506006	0.887935045184522	1.57961458290928	0.294216153037502
slr1970	5	slr1970	slr1970	hypothetical protein	-2.55629035369156	-2.97233158293622	1.74592495701269	1.73869934490633	0.698410020881592	0.0855470903324196	0.398498922081861	3.17384008121169	0.294185574452082
sll1574	5	sll1574	spkA'	a part of spkA: serine/threonine protein kinase ;  regulates cellular motility ( disrupted by frameshift m utation)	0.408408088603783	-0.00716060351233743	0.435039604605977	0.235505278455072	0.91906423382506	0.721165257323383	0.0149698450149073	0.00101655653773148	0.293851440244133
sll7009	5	sll7009	sll7009	CRISPR1 repressor	0.665029462877085	0.250629248900834	0.388675872719826	0.171556568764661	0.130921992025113	0.773956683279766	0.587212633268349	0.0278908612179993	0.293025201427763
slr2046	5	slr2046	slr2046	unknown protein	0.0791733857654055	-0.334898597178995	0.307183428842767	0.675687686790631	0.96476911582635	0.746352504788104	0.00123325276318149	0.0425508779496442	0.292793107039346
accC	5	sll0053	accC	biotin carboxylase	-2.87944136996358	-3.29262353456325	1.70865720744569	1.86932830169039	0.0327294984651215	0.259130136925637	4.27614507139491	1.93106468431371	0.29216391045376
slr1170	5	slr1170	slr1170	hypothetical protein	-0.82737243662342	-1.239391166764	0.510751259574509	1.24461269888304	0.102132247396431	0.830847581906481	0.81979131518715	0.0997445152363049	0.291341238058274
slr1339	5	slr1339	slr1339	hypothetical protein	0.346681544961285	-0.0632609298729577	0.218332657986125	0.869350381922656	0.346720922983932	0.934932621803461	0.159480426949452	0.00184846453791282	0.289873103851689
slr1610	5	slr1610	slr1610	putative C-3 methyl transferase	0.227791297621823	-0.181891686418827	0.442568741342189	0.290379568333565	0.862463238140476	0.355751015093573	0.0146377337828917	0.0816427841020175	0.289689616151884
gpsA	5	slr1755	gpsA	NAD+ dependent glycerol-3-phosphate dehydrogena se	-0.700510398630837	-1.110143870233	0.443581620143495	0.802169609229954	0.0641744396408226	0.259130136925637	0.835455261131386	0.651079481091861	0.289654605570878
sll7067	5	sll7067	sll7067	Cas10; part of CRISPR2 effector complex	0.516449825868371	0.107025271152705	1.04594863513448	0.0540732442590333	0.665258648332501	0.952507446680345	0.0914165104394439	0.0022616173962751	0.28950687902373
slr1805	5	slr1805	hik16	two-component sensor histidine kinase	0.20951378295243	-0.199878395267722	0.309511720345208	0.526186706633059	0.945895107585028	0.972096826221706	0.00506122881484553	0.00245660037734708	0.289483985384201
slr0700	5	slr0700	slr0700	probable amino acid permease	0.586737328605096	0.178380619051685	0.407988364575018	0.192633991731667	0.48928840640055	0.934932621803461	0.182143846403468	0.00521222576446709	0.288751798468242
slr0531	5	slr0531	ggtD	glucosylglycerol transport system permease prot ein	0.503210504527031	0.095932365024046	0.494379382913131	0.0746786258224026	0.770897234545621	1	0.0568645544272416	0	0.287989134271601
slr2025	5	slr2025	slr2025	hypothetical protein	-0.266221042667467	-0.673261453957839	0.788482300235055	1.43425191203999	0.801021337301133	0.914355054285718	0.0256519722092648	0.0261798592381274	0.287821035040383
sll5094	5	sll5094	sll5094	plasmid stabilization protein	0.479868014074977	0.0735690116281199	0.228373526729338	0.31643560894905	0.212427160885994	0.799499133977992	0.322850379716232	0.00714958386076516	0.287296779819502
sll0219	5	sll0219	sll0219	flavoprotein	0.361165396480513	-0.0445633182788251	0.147801204066305	0.189182743521151	0.287103864635769	0.613832048322259	0.195737545548316	0.00944521494782825	0.28689352552843
sll0086	5	sll0086	sll0086	putative arsenical pump-driving ATPase	-0.359060118822276	-0.764146616340628	0.49183254722516	0.832786787026695	0.698410020881592	0.647662559333708	0.0559737160165046	0.144157182499319	0.286439409362334
slr1042	5	slr1042	pilH	two-component response regulator CheY subfamily	2.1401198899393	1.73614458820256	0.202000844900874	0.424974560773049	0.00872410061899529	0.00942124926252689	4.40710466195518	3.51724057393385	0.285653675289925
sll1642	2	sll1642	sll1642	hypothetical protein	0.417129704409153	0.0134514673948633	0.223821501745733	0.241859613819725	0.436921305310529	0.873632922859333	0.149998497527437	0.000789211150356737	0.285443618810235
ho1	5	sll1184	ho1	heme oxygenase	-3.51900138952558	-3.92182452076289	1.06352015506944	1.16665544692423	0.00872410061899529	0.00942124926252689	7.24660683829485	7.94519098352107	0.284838967716699
sll1532	5	sll1532	sll1532	hypothetical protein	-0.24047055919057	-0.641398819407897	0.978862359369308	0.639974328198331	1	0.259130136925637	0	0.376168910814575	0.283499091568996
zwf	5	slr1843	zwf	glucose 6-phosphate dehydrogenase	0.499918851960458	0.101068912773273	0.283621827488502	0.165789208118983	0.146923687918804	0.914355054285718	0.416386500634974	0.00393007782370466	0.282029496675101
slr0808	5	slr0808	slr0808	16S rRNA processing protein RimM homolog	0.44319889970713	0.0444695427599543	0.360487828103392	0.287660942664717	0.732413180445005	0.952507446680345	0.0599399249686322	0.000939713494085089	0.281944232155499
slr1383	5	slr1383	slr1383	unknown protein	0.331934718997993	-0.0664875359358379	0.236052725159607	0.1418002646105	0.632601102915249	0.20123938752781	0.0660118759046039	0.0462944078064585	0.281727078239348
ycf6	1	sml0004	petN	cytochrome b6-f complex subunit VIII	-3.15021455497583	-3.54857092946848	NA	NA	0.274963167020891	0.336662450828136	1.766405564176	1.67778321148555	0.281680493732643
slr8036	5	slr8036	slr8036	hypothetical protein	0.575902845478851	0.178237020427516	0.243823139880053	0.131956894368561	0.0540569593737855	1	0.729754361366078	0	0.281192201539942
slr0333	5	slr0333	slr0333	unknown protein	-1.53739031933424	-1.9347375615006	1.33123181609077	1.72516447507166	0.41870951708492	0.891443924977185	0.581267551443744	0.0965549553044049	0.280966929421609
sll8048	5	sll8048	sll8048	hypothetical protein	0.502479391528639	0.105357840392709	0.367005899599861	0.251574516887571	0.453523779275958	0.914355054285718	0.172551391377863	0.00409685333223746	0.280807341763537
slr0825	5	slr0825	slr0825	probable peptidase	0.57075985703315	0.175105826623544	0.397089532783982	0.144151310375841	0.892734787732264	0.576431906113401	0.028125642531595	0.0418944172238431	0.279769647906421
sll0834	5	sll0834	bicA	low affinity sulfate transporter	-0.22007897796333	-0.615276241944016	1.0552621963848	0.727554814947262	0.945895107585028	0.576431906113401	0.00531645245058967	0.147206064383782	0.279446665267113
sll1200	5	sll1200	sll1200	hypothetical protein	0.598881175987731	0.204225340799898	0.412005335163937	0.201479154934935	0.892734787732264	0.773956683279766	0.0295113919929268	0.0227268790950345	0.279063817296158
frpC	5	sll1009	frpC	unknown protein	0.421371541165019	0.0281077050870617	0.403306370367256	0.174339823368573	0.831372755086894	0.799499133977992	0.0337957723590664	0.00273156306176052	0.278079525286158
glpD	5	sll1085	glpD	glycerol-3-phosphate dehydrogenase	0.536395406057758	0.14363765735907	0.239738512622865	0.198860903794922	0.116351752425167	0.873632922859333	0.501115109220878	0.00842736613569666	0.277721667468404
glcP	5	sll0771	glcP;  gtr	glucose transport protein	-0.690076258606455	-1.08258239734544	0.903125756337185	1.49164592112611	0.48928840640055	0.830847581906481	0.21422387485234	0.0871247587704801	0.277543752359682
sll0669	5	sll0669	sll0669	unknown protein	0.541738178087711	0.150272622741458	0.473365488673104	0.0994950904701941	0.560291610153004	0.972096826221706	0.136293676610858	0.00184692188086231	0.276807948786293
ssr7040	5	ssr7040	ssr7040	hypothetical protein	0.471458277117702	0.0811294830460187	0.317328521077896	0.341674975089982	0.317804804672139	0.851068828310938	0.234710572412749	0.00568192897299961	0.276004137180455
ssl7051	5	ssl7051	ssl7051	hypothetical protein	0.41271585624387	0.023670615232321	0.193162661921211	0.174327612048744	0.212427160885994	0.830847581906481	0.277671082453986	0.00190497891626698	0.275096528107621
sll7078	5	sll7078	sll7078	hypothetical protein	0.461638884991353	0.0727860332844115	0.160886302474786	0.0646588156521866	0.130921992025113	0.773956683279766	0.407621316658777	0.00809987326637775	0.274960488325705
sll1274	5	sll1274	sll1274	hypothetical protein	-0.992021128377108	-1.38036436792045	0.782924078589676	1.00657085645489	0.594324564040631	0.613832048322259	0.224173283493385	0.292568836094211	0.27460013810905
sll1656	5	sll1656	sll1656	hypothetical protein	-2.72999935833892	-3.1181275318314	0.593254881919017	0.901608253726662	0.00872410061899529	0.00942124926252689	5.62183126086987	6.31698808047548	0.274448063446078
ctaC	5	slr1136	ctaCI	cytochrome c oxidase subunit II	0.522912054388849	0.135258376565669	0.23381199630591	0.188221267447995	0.116351752425167	0.891443924977185	0.488518597080912	0.00675020052524081	0.274112544340676
slr1915	5	slr1915	slr1915	hypothetical protein	0.350770945144622	-0.0362184279525301	0.210868395546228	0.291496975942638	0.698410020881592	0.873632922859333	0.0546815205619766	0.00212497167405277	0.273642809964127
glnA	5	slr1756	glnA	glutamate--ammonia ligase	-1.43884099785255	-1.82520877644309	0.727183080273231	0.889214469818528	0.0230333039733418	0.016128529540136	2.3563089831031	3.27151374947744	0.273203276273355
slr1568	5	slr1568	slr1568	hypothetical protein	0.525852445323513	0.142173282309752	0.133491708685525	0.185100524629147	0.0385156130506793	0.972096826221706	0.74374633946502	0.00174737714150146	0.271302137967009
sll0507	5	sll0507	sll0507	probable cation transporter	-0.0015844540770079	-0.38508686255526	0.225654066687406	0.284559160941948	0.91906423382506	0.0627282714324613	5.80767928645439E-05	0.463081077172416	0.271177153636346
ureB	5	sll0420	ureB	urease beta subunit	0.584718490196077	0.20205894344228	0.373791105452512	0.0832894972242429	0.632601102915249	0.830847581906481	0.116282998447608	0.016261428920324	0.27058116039538
aspS	5	slr1720	aspS	aspartyl-tRNA synthetase	-3.75653036322697	-4.13884143113354	1.07674602662129	1.19556225522723	0.00872410061899529	0.00942124926252689	7.73574534509997	8.38484369883765	0.270334748639409
kpsT	5	slr2108	kpsT	probable polysaccharide ABC transporter ATP bin ding subunit	0.53663878156403	0.154557096660939	0.417528109194003	0.383278496846476	0.453523779275958	0.972096826221706	0.184281723762828	0.00189958009954189	0.270172550362157
sll1916	5	sll1916	nadD	hypothetical protein	-0.568609288023461	-0.9503662106726	0.711642663890447	0.86960421336918	0.381125238931649	0.20123938752781	0.238208791353024	0.661727650199187	0.269942908770114
slr1956	5	slr1956	slr1956	unknown protein	-0.223004211571475	-0.603625939094969	1.18482423876672	0.678761890306637	0.41870951708492	0.355751015093573	0.0843150307320315	0.270939827950306	0.2691402045988
sll0529	5	sll0529	sll0529	hypothetical protein	-1.12092033858492	-1.50140548488545	0.655542832420145	0.776739038624706	0.0273335965306326	0.0270681873278269	1.75233837518994	2.35351439484529	0.269043627089861
sll1415	5	sll1415	ppnK	hypothetical protein	0.398212963311285	0.0178672456693701	0.240236298052744	0.146575928478117	0.453523779275958	0.799499133977992	0.136746306500309	0.00173637471058845	0.268945036139862
sll0524	5	sll0524	sll0524	hypothetical protein	0.594053783163522	0.214007592674431	0.55458119669762	0.249137700092697	0.212427160885994	0.934932621803461	0.399673418191697	0.00625323476428819	0.268733238458951
sll0802	5	sll0802	sll0802	hypothetical protein	0.561425613731383	0.181384206377365	0.346222958479228	0.204473967902535	0.48928840640055	0.972096826221706	0.174286202307214	0.00222929801509865	0.268729856271705
slr2080	5	slr2080	slr2080	hypothetical protein	0.265829875254887	-0.11416644491627	0.342277562235583	0.301326258582462	0.632601102915249	0.386972664061619	0.052865601977502	0.0470730757646956	0.268697974818959
sll1086	5	sll1086	sll1086	unknown protein	-0.071855068114062	-0.451820488622302	0.694387170532816	0.791944518565669	0.91906423382506	0.613832048322259	0.00263378533192241	0.0957635516764966	0.268676125457775
sll1160	5	sll1160	sll1160	hypothetical protein	-0.483298598313847	-0.863221955479528	0.632988793348384	1.08305025116264	0.521743220241387	0.873632922859333	0.136552725581717	0.0506461022057225	0.268646382183012
ssr7093	5	ssr7093	ssr7093	Cas2; part of CRISPR3 adaptation module	0.108678371189043	-0.270169968740347	0.513034621206974	0.804896045893861	0.831372755086894	0.830847581906481	0.00871646310736641	0.021742911589223	0.267886230205338
pstB	5	slr1250	pstB	phosphate transport ATP-binding protein PstB ho molog	-0.045533865654364	-0.423820472322819	0.5540309588635	0.515186641454644	0.831372755086894	0.539930253869482	0.00365200780771416	0.113440778115114	0.267489024807313
ssl8010	5	ssl8010	ssl8010	type I restriction-modification system M subunit	0.404770365833844	0.026516655442744	0.303983426159717	0.15027202188803	0.862463238140476	0.613832048322259	0.0260103038181731	0.00562021680672789	0.267465763626519
slr0650	5	slr0650	slr0650	hypothetical protein	0.0327806462203985	-0.343399367411788	0.540259952900396	0.797566335791561	0.862463238140476	0.830847581906481	0.00210646489841753	0.0276363139850138	0.265999438586167
sll1373	5	sll1373	sll1373	unknown protein	0.455406462512108	0.0795304206312052	0.300311846112802	0.16699045837009	0.41870951708492	0.972096826221706	0.172183339550819	0.000977466629504912	0.265784498099545
ssr5019	5	ssr5019	ssr5019	hypothetical protein	0.375035662255417	-0.000821344840738911	0.342617384315149	0.352263378417825	0.892734787732264	0.678548525328875	0.0184808354042727	0.000138330149838612	0.265771038474172
ksgA	5	sll0708	ksgA	dimethyladenosine transferase	0.0547740186756459	-0.320766890106039	0.407257183370309	0.421874005727035	0.831372755086894	0.116375269737098	0.00439310699824513	0.299640957991923	0.265547523212488
slr1942	5	slr1942	kaiC3	circadian clock protein KaiC homolog	-0.355495307293867	-0.730856124913142	0.936749923089829	1.26518847752257	0.892734787732264	0.851068828310938	0.0175179347520688	0.0511857395773458	0.265420179530316
sll1982	1	sll1982	sll1982	putative transposase [ISY352c: 1553414 - 155390 3;  join 1554854 - 1555726]	0.482174946767208	0.106875933193064	NA	NA	0.493338219599019	0.952507446680345	0.147957907968857	0.00225846164321034	0.265376477470899
sll1785	5	sll1785	sll1785	periplasmic protein;  function unknown	0.44265347667403	0.0675105283985598	1.23178809407062	0.212808419748235	0.665258648332501	0.830847581906481	0.0783538577119034	0.00543315549524436	0.265266122639899
slr0841	5	slr0841	slr0841	periplasmic protein;  function unknown	0.266395662066921	-0.107296153353161	0.783784731738486	0.279111562922842	0.862463238140476	0.678548525328875	0.0171184273629565	0.0180707204017947	0.264240016757451
llaI_2	4	sll0709	llaI.2	putative endonuclease	-0.201747891567683	-0.575064516707896	0.416620250656369	0.490062262304602	0.698410020881592	0.201437138842069	0.0314503855972029	0.4001646567063	0.263974717166321
sll1764	5	sll1764	sll1764	unknown protein	0.385635150197426	0.0126485502366332	0.156503041169158	0.203020974081942	0.146923687918804	0.746352504788104	0.321198670709961	0.00160707426633759	0.263741354123991
glnH/glnP	5	sll1270	bgtB	periplasmic substrate-binding and integral memb rane protein of the ABC-type Bgt permease for basic amino acids and glutamine BgtB	0.556998986580769	0.18460744866226	0.191836635833362	0.258437304544792	0.0540569593737855	0.972096826221706	0.705800367066824	0.00226891319313101	0.263320581718665
sll0267	5	sll0267	sll0267	unknown protein	0.526998246638122	0.154831175461432	0.282928249643709	0.113044161262164	0.48928840640055	0.799499133977992	0.163598740033732	0.0150468036571969	0.263161859763374
sll0785	5	sll0785	sll0785	unknown protein	-0.116883976859487	-0.487522844019402	0.439911191777689	0.677081722905892	1	0.799499133977992	0	0.0473784461720724	0.262081256340076
sll1558	5	sll1558	sll1558	mannose-1-phosphate guanyltransferase	-1.87550432425603	-2.24595587660523	1.02916195119134	1.2247638196179	0.0141658821770576	0.0381550422491474	3.46735057526883	3.18577175874332	0.261948804767206
slr1290	5	slr1290	slr1290	hypothetical protein	-0.699691978632861	-1.07001066505136	0.848441363860479	0.923013815382575	0.862463238140476	0.613832048322259	0.0449617918690472	0.226789232001177	0.261854854366617
slr5124	4	slr5124	slr5124	hypothetical protein	0.474059013438075	0.104324153162642	0.28169372299692	0.118465760189783	0.698410020881592	0.835084036174793	0.0739008405619704	0.00816543252235101	0.261442026941819
slr1944	5	slr1944	slr1944	periplasmic protein;  function unknown	0.555144619312968	0.185462489187823	0.28904468971541	0.289054362890285	0.346720922983932	0.952507446680345	0.255377599971784	0.0039191229079457	0.261404741094977
sll1763	5	sll1763	sll1763	unknown protein	0.292562332922776	-0.0769826067854203	0.335371323312411	0.322073055088383	0.453523779275958	0.461056965216689	0.100465886684432	0.0258850483875828	0.26130773282084
slr7096	5	slr7096	slr7096	hypothetical protein	-1.95238454323047	-2.32183617946423	1.14889217855374	1.48801805004229	0.212427160885994	0.424519521785774	1.31354470947416	0.86396066077255	0.261241757301359
slr0064	5	slr0064	slr0064	hypothetical protein	-1.22676733992601	-1.59611856474638	1.24924088226561	1.21124731140876	0.91906423382506	0.325009520625726	0.0449660950908803	0.779071723263536	0.261170755710046
slr0081	5	slr0081	slr0081	two-component response regulator OmpR subfamily	-1.71892118110433	-2.08670980953218	1.09878759983293	1.22199890750303	0.801021337301133	0.325009520625726	0.165628223546107	1.01853123143234	0.260065833204631
sll5034	5	sll5034	sll5034	hypothetical protein	0.53914934744945	0.171853505943568	0.484375525324303	0.149253909982201	0.698410020881592	0.851068828310938	0.0840477426554761	0.0120358145753061	0.259717380230429
ctaE	5	slr1138	ctaEI	cytochrome c oxidase subunit III	0.283002714252448	-0.084061026250487	0.381636954829844	0.44132221497205	0.665258648332501	0.678548525328875	0.0500941607219048	0.0141574814621789	0.259553260037325
sll1390	5	sll1390	sll1390	hypothetical protein	-0.691477803484145	-1.05737929420368	0.92511174369524	0.815290004122722	0.91906423382506	0.539930253869482	0.0253455204200142	0.283020613043701	0.258731425334047
slr2052	5	slr2052	slr2052	hypothetical protein	-1.85639729514	-2.22147625357866	1.28569610327312	1.49654840458487	0.48928840640055	0.678548525328875	0.576290832890527	0.374139006880471	0.258149807180501
ssr2611	5	ssr2611	ssr2611	hypothetical protein	-2.94863871433275	-3.31326397214864	0.670840560944418	0.891013570441981	0.00872410061899529	0.00942124926252689	6.07207076829981	6.71231333736978	0.257828992393503
priA	5	sll0270	priA	primosomal protein N'	0.401415587181331	0.0368234880340318	0.394152973856591	0.202196410359204	0.770897234545621	0.773956683279766	0.0453613712350271	0.00409784092967619	0.257805545674093
slr1690	5	slr1690	slr1690	hypothetical protein	-0.583331091885677	-0.946194754891911	0.508873027207507	0.973885196993552	0.521743220241387	0.914355054285718	0.164816224982762	0.036792906157488	0.256583356757898
menB	5	sll1127	menB	1; 4-dihydroxy-2-naphthoate synthase	-2.27576946085484	-2.63741248802755	1.21424447849119	1.46478429133403	0.019602630199946	0.016128529540136	3.88629885759665	4.72731192671572	0.255720236882654
slr2008	5	slr2008	slr2008	hypothetical protein	-0.687673469785814	-1.04903679534843	0.801645664138307	0.948560273225378	0.732413180445005	0.647662559333708	0.0930036067533529	0.19790205900504	0.255522457977447
sll1888	5	sll1888	hik5	two-component sensor histidine kinase	0.0178228049249873	-0.34247564683368	0.365868817784793	0.113204858845523	0.770897234545621	0.0627282714324613	0.00201403955518701	0.411839527291851	0.254769478489568
sll7086	5	sll7086	sll7086	Cmr5; part of CRISPR3 effector complex	0.203777234942392	-0.156518603087082	0.186154871251142	0.262044076224208	0.665258648332501	0.355751015093573	0.0360705005449651	0.0702539779105886	0.254767630303931
