chr	start	end	strand	type	gene	name	product	locus	CO2_30percent	CO2_4percent
NC_000911.1	1108314	1108967	+	protein-coding	SGL_RS07060	slr1365	biotin transporter BioY	slr1365	-3.0791136849920497	-1.6830816424901636
NC_000911.1	1108314	1108967	+	protein-coding	SGL_RS07060	slr1365	biotin transporter BioY	slr1365	-0.7160803221827946	0.01367948055169039
NC_000911.1	1108967	1109452	+	protein-coding	SGL_RS07065	lspA	leader peptidase II LspA	slr1366	-1.9196426355844336	-0.0949386251962334
NC_000911.1	1108967	1109452	+	protein-coding	SGL_RS07065	lspA	leader peptidase II LspA	slr1366	-1.0004592890031736	0.03428850978937484
NC_000911.1	1109620	1111044	-	protein-coding	SGL_RS07070	sll1273	hypothetical protein	sll1273	0.05577649464154418	0.24609197572874592
NC_000911.1	1111185	1111955	-	protein-coding	SGL_RS07075	sll1272	Abi-alpha family protein	sll1272	-1.0300917696501886	0.07245225714341415
NC_000911.1	1112531	1114249	-	protein-coding	SGL_RS07085	sll1271	iron uptake porin	sll1271	-0.5825349436108878	-1.1059690441409855
NC_000911.1	1114429	1116012	-	protein-coding	SGL_RS07090	bgtB	ABC transporter permease subunit	sll1270	0.5572326320376905	0.18446939588180297
NC_000911.1	1115652	1115748	+	non-coding	SLL1270-AS	sll1270-as	SLL1270-AS-RNA	sll1270-as	0.428144442511213	0.3341972091756763
NC_000911.1	1116317	1116549	+	non-coding	SSL2501-AS	ssl2501-as	SSL2501-AS-RNA	ssl2501-as	0.0960115872701668	0.25350042154763935
NC_000911.1	1116360	1116629	-	protein-coding	SGL_RS07095	phaP	phasin PhaP	ssl2501	0.4120369398311344	0.1557997644947742
NC_000911.1	1116680	1116775	-	non-coding	NCL0490	ncl0490	NCL0490-RNA	ncl0490	-1.2543426555835628	0.2625571689079323
NC_000911.1	1117143	1119674	+	protein-coding	SGL_RS07100	glgP2	glycogen phosphorylase 2	slr1367	-3.8510604802727655	-3.656766350067935
NC_000911.1	1117143	1119674	+	protein-coding	SGL_RS07100	glgP2	glycogen phosphorylase 2	slr1367	0.6375076908667362	-1.510333637003031
NC_000911.1	1119671	1119724	-	non-coding	SLR1367-AS	slr1367-as	SLR1367-AS-RNA	slr1367-as	0.10941750577168552	0.6835503735726467
NC_000911.1	1119916	1120509	+	protein-coding	SGL_RS07105	cbiT	cobalt-precorrin-6B/precorrin-6B (C15)-methyltransferase [decarboxylating]	slr1368	-3.0159908030946108	-0.6311427656424604
NC_000911.1	1120643	1121524	+	protein-coding	SGL_RS07110	cdsA	phosphatidate cytidylyltransferase	slr1369	-3.279299662725082	-3.944290512703811
NC_000911.1	1121627	1123144	-	protein-coding	SGL_RS07115	sll1268	hypothetical protein	sll1268	-0.2006991916182453	0.33156802412519737
NC_000911.1	1121627	1123144	-	protein-coding	SGL_RS07115	sll1268	hypothetical protein	sll1268	-0.6213395855182012	0.41146986115992873
NC_000911.1	1123441	1123890	-	protein-coding	SGL_RS07120	sll1267	hypothetical protein	sll1267	-0.22031132437119189	0.04893697320354046
NC_000911.1	1124071	1130007	-	protein-coding	SGL_RS07125	sll1265	translocation/assembly module TamB domain-containing protein	sll1265	0.3092171201385399	-0.06644409662905264
NC_000911.1	1124071	1130007	-	protein-coding	SGL_RS07125	sll1265	translocation/assembly module TamB domain-containing protein	sll1265	-0.8340853205047462	-1.6527235897857988
NC_000911.1	1126672	1126949	+	non-coding	SLL1265-AS2	sll1265-as2	SLL1265-AS2-RNA	sll1265-as2	-0.24245716419534508	0.23948518199324445
NC_000911.1	1127552	1127591	+	non-coding	SLL1265-AS	sll1265-as	SLL1265-AS-RNA	sll1265-as	0.02489148974032577	0.325189285312754
NC_000911.1	1130313	1131683	-	protein-coding	SGL_RS07130	sll0877	AAA-like domain-containing protein	sll0877	-1.7529283715421846	-0.4223962566624432
NC_000911.1	1130566	1130630	+	non-coding	SLL0877-AS	sll0877-as	SLL0877-AS-RNA	sll0877-as	0.4148391241170431	0.01760817363824993
NC_000911.1	1131810	1132247	+	protein-coding	SGL_RS07135	mscL	large conductance mechanosensitive channel protein MscL	slr0875	0.4117014084622396	0.2699813517656766
NC_000911.1	1132264	1132899	-	protein-coding	SGL_RS07140	ruvA	Holliday junction branch migration protein RuvA	sll0876	0.07039201535322549	0.20022252800556103
NC_000911.1	1132264	1132899	-	protein-coding	SGL_RS07140	ruvA	Holliday junction branch migration protein RuvA	sll0876	-1.1293525745315625	0.05237149397979562
NC_000911.1	1132914	1133690	-	protein-coding	SGL_RS07145	sll0875	TIGR00297 family protein	sll0875	0.5501433078592689	0.2244755349504094
NC_000911.1	1133879	1135108	+	protein-coding	SGL_RS07150	slr0876	FAD/NAD(P)-binding oxidoreductase	slr0876	0.7636797843373849	0.05184656781225773
NC_000911.1	1135337	1135588	+	protein-coding	SGL_RS07155	rbp2	RNA-binding protein 2	ssr1480	-1.3209882794761203	-0.6107891031205585
NC_000911.1	1135716	1137167	+	protein-coding	SGL_RS07160	gatA	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	slr0877	-2.215260958519485	-3.321846736455638
NC_000911.1	1137039	1137168	-	non-coding	SLR0877-AS	slr0877-as	SLR0877-AS-RNA	slr0877-as	0.10958877829854276	0.35190144533723633
NC_000911.1	1137216	1138112	+	protein-coding	SGL_RS07165	slr0878	M23 family metallopeptidase	slr0878	-2.67360315732679	-0.9476198586036584
NC_000911.1	1138210	1138608	+	protein-coding	SGL_RS07170	gcvH	glycine cleavage system H-protein	slr0879	-0.5591642365670275	-1.8648984714163217
NC_000911.1	1138702	1140474	+	protein-coding	SGL_RS07175	slr0880	NFACT family protein	slr0880	-0.7784757745748313	-1.715004426018048
NC_000911.1	1140497	1141645	-	protein-coding	SGL_RS07180	sll0873	carboxyaminopropylagmatine decarboxylase	sll0873	0.4279515905284817	0.1173735408200339
NC_000911.1	1140497	1141645	-	protein-coding	SGL_RS07180	sll0873	carboxyaminopropylagmatine decarboxylase	sll0873	-0.570723222376607	0.2265547200245112
NC_000911.1	1141623	1141720	+	non-coding	SLL0873-AS	sll0873-as	SLL0873-AS-RNA	sll0873-as	0.155141188712058	0.25824742682804674
NC_000911.1	1141803	1142015	-	protein-coding	SGL_RS18765	hliC	high light inducible protein C	ssl1633	-0.7979637232554573	-2.033520143354676
NC_000911.1	1141810	1141973	+	non-coding	SSL1633-AS2	ssl1633-as2	SSL1633-AS2-RNA	ssl1633-as2	0.3264606451973104	0.1954553995841658
NC_000911.1	1142101	1142412	+	protein-coding	SGL_RS07185	slr0881	hypothetical protein	slr0881	0.7624011538961918	0.095669185200600207
NC_000911.1	1142501	1142707	-	protein-coding	SGL_RS19815	sll0872	hypothetical protein	sll0872	-0.2573208276402922	0.28014116534693173
NC_000911.1	1143053	1144231	+	protein-coding	SGL_RS07195	slr0882	LptF/LptG family permease	slr0882	-3.5316948233433068	-3.6439597788125417
NC_000911.1	1143957	1144439	-	non-coding	SLR0882-AS	slr0882-as	SLR0882-AS-RNA	slr0882-as	-2.4750595807027733	-0.31629124613328474
NC_000911.1	1144728	1146173	+	protein-coding	SGL_RS07200	slr0883	LCP family protein	slr0883	-1.412062039028454	0.0654440553619326
NC_000911.1	1146290	1146718	-	protein-coding	SGL_RS07205	sll0871	hypothetical protein	sll0871	1.0257283549280842	-2.604588167231988
NC_000911.1	1146765	1146880	-	non-coding	NCL0500	ncl0500	NCL0500-RNA	ncl0500	0.3607370872859996	-0.1785930089412007
NC_000911.1	1147079	1148098	+	protein-coding	SGL_RS07215	gap1	type I glyceraldehyde-3-phosphate dehydrogenase	slr0884	0.3264199053351047	0.25994991250000765
NC_000911.1	1148107	1148215	+	non-coding	NCR0460	ncr0460	NCR0460-RNA	ncr0460	0.02994546871555122	-0.05643618156933049
NC_000911.1	1148722	1149297	+	protein-coding	SGL_RS07225	slr0885	Uma2 family endonuclease	slr0885	-0.25006891516174434	-0.7732616362216799
NC_000911.1	1149471	1150067	-	protein-coding	SGL_RS07230	aat	leucyl/phenylalanyl-tRNA--protein transferase	sll0869	0.06867305523859495	0.1993224583622056
NC_000911.1	1149471	1150067	-	protein-coding	SGL_RS07230	aat	leucyl/phenylalanyl-tRNA--protein transferase	sll0869	0.5174337571054153	-0.29271906220438443
NC_000911.1	1150122	1151033	-	protein-coding	SGL_RS07235	lipA2	lipoyl synthase 2	sll0868	-1.822139904878465	-1.7404235766789156
NC_000911.1	1150122	1151033	-	protein-coding	SGL_RS07235	lipA2	lipoyl synthase 2	sll0868	-0.02089030375351397	0.28879908148789163
NC_000911.1	1151139	1152431	-	protein-coding	SGL_RS07240	sll0867	aldo/keto reductase	sll0867	-1.1862910836192628	-0.8154038097255466
NC_000911.1	1151139	1152431	-	protein-coding	SGL_RS07240	sll0867	aldo/keto reductase	sll0867	-2.523564821424588	-2.302391258921648
NC_000911.1	1152549	1153292	+	protein-coding	SGL_RS07245	fabG	3-oxoacyl-[acyl-carrier-protein] reductase	slr0886	-1.8613567800477968	-3.3515414870117533
NC_000911.1	1153292	1154101	+	protein-coding	SGL_RS07250	pabC	4-amino-4-deoxychorismate lyase	slr0887	-0.615812854580115	-0.29748430506070184
NC_000911.1	1153292	1154101	+	protein-coding	SGL_RS07250	pabC	4-amino-4-deoxychorismate lyase	slr0887	-0.13588451850309957	-0.13130664983601847
NC_000911.1	1154330	1154836	+	protein-coding	SGL_RS07260	slr0888	hypothetical protein	slr0888	1.207789896398204	-0.00197885058625598
NC_000911.1	1154857	1156083	+	protein-coding	SGL_RS07265	spkJ	serine/threonine-protein kinase SpkJ	slr0889	-1.446070055867873	-0.5975294514756478
NC_000911.1	1154857	1156083	+	protein-coding	SGL_RS07265	spkJ	serine/threonine-protein kinase SpkJ	slr0889	0.4325526530333203	0.23887760547340783
NC_000911.1	1156171	1156503	+	protein-coding	SGL_RS07270	ssr1499	hypothetical protein	ssr1499	0.7293166063014719	0.13540539414323444
NC_000911.1	1156580	1156975	+	protein-coding	SGL_RS07275	slr0890	clan AA aspartic protease	slr0890	0.2115836617469286	0.18928084873640885
NC_000911.1	1157029	1158909	-	protein-coding	SGL_RS07280	uvrC	excinuclease ABC subunit UvrC	sll0865	-1.658044084928609	-1.9039112964791416
NC_000911.1	1159029	1160804	+	protein-coding	SGL_RS07285	amiB	N-acetylmuramoyl-L-alanine amidase B	slr0891	-0.8468786210860259	0.05782380886878188
NC_000911.1	1159238	1159311	-	non-coding	SLR0891-AS	slr0891-as	SLR0891-AS-RNA	slr0891-as	0.06130858820515501	0.09356812699144525
NC_000911.1	1160787	1161260	-	protein-coding	SGL_RS07290	sll0864	M67 family metallopeptidase	sll0864	0.23393912723617596	0.26104027616303427
NC_000911.1	1161441	1161824	-	protein-coding	SGL_RS07295	sll0863	hypothetical protein	sll0863	-1.4312901399291789	0.1630397075789271
NC_000911.1	1161856	1163367	-	protein-coding	SGL_RS07300	sll0862	site-2 protease family protein	sll0862	-0.6555146696302135	-0.16932391065191613
NC_000911.1	1161856	1163367	-	protein-coding	SGL_RS07300	sll0862	site-2 protease family protein	sll0862	0.01544573580580199	-0.13016595502119432
NC_000911.1	1163421	1164338	-	protein-coding	SGL_RS07305	murQ	N-acetylmuramic acid 6-phosphate etherase	sll0861	-1.7046803532641357	-1.2300310843144435
NC_000911.1	1164450	1164530	+	non-coding	SLL0860-AS	sll0860-as	SLL0860-AS-RNA	sll0860-as	0.9532240458462452	0.2008620101475473
NC_000911.1	1164496	1165017	-	protein-coding	SGL_RS07310	sll0860	DUF3110 domain-containing protein	sll0860	-2.4554354430450207	-2.5790284367580116
NC_000911.1	1165087	1166073	-	protein-coding	SGL_RS07315	petA	cytochrome <i>f</i>	sll1317	-3.595732292599001	-4.016911882460033
NC_000911.1	1166186	1166728	-	protein-coding	SGL_RS07320	petC1	cytochrome <i>b</i><sub>6</sub><i>f</i> complex iron-sulfur subunit C1	sll1316	-3.83159339165438	-5.389003711137973
NC_000911.1	1167053	1167247	-	protein-coding	SGL_RS07325	psbH	photosystem II reaction center protein H	ssl2598	0.3391186890559093	-2.785758486077676
NC_000911.1	1167333	1167464	+	protein-coding	SGL_RS18770	psbN	photosystem II reaction center protein N	smr0009	0.37268678163504654	0.3453892108640826
NC_000911.1	1167510	1167779	-	protein-coding	SGL_RS07330	ssl2595	YciI family protein	ssl2595	0.22075722531291497	-0.41899475735296016
NC_000911.1	1167961	1168950	-	protein-coding	SGL_RS07335	sll1315	hypothetical protein	sll1315	-0.2369044676876132	0.09449722452181816
NC_000911.1	1167961	1168950	-	protein-coding	SGL_RS07335	sll1315	hypothetical protein	sll1315	0.6153924818010895	0.31184793813123346
NC_000911.1	1168361	1168499	+	non-coding	SLL1315-AS	sll1315-as	SLL1315-AS-RNA	sll1315-as	0.15397442588492044	-0.02858007696615925
NC_000911.1	1169078	1170187	-	protein-coding	SGL_RS07340	sll1314	TRAP transporter substrate-binding protein	sll1314	-0.22663494257399175	-0.2553584748446578
NC_000911.1	1170571	1179621	+	protein-coding	SGL_RS20135	slr1403	Calx-beta domain-containing protein	slr1403	0.00554300935216247	0.36626553992107225
NC_000911.1	1170571	1179621	+	protein-coding	SGL_RS20135	slr1403	Calx-beta domain-containing protein	slr1403	-1.2070474253073131	0.07159238688412463
NC_000911.1	1173128	1173217	-	non-coding	SLR1403-AS8	slr1403-as8	SLR1403-AS8-RNA	slr1403-as8	-0.07165879652044072	0.3209163940853805
NC_000911.1	1173611	1173642	-	non-coding	SLR1403-AS7	slr1403-as7	SLR1403-AS7-RNA	slr1403-as7	0.3397937818686829	0.07619716793732953
NC_000911.1	1174424	1174500	-	non-coding	SLR1403-AS6	slr1403-as6	SLR1403-AS6-RNA	slr1403-as6	0.34339704895823003	0.12595332392691633
NC_000911.1	1175685	1175889	-	non-coding	SLR1403-AS2	slr1403-as2	SLR1403-AS2-RNA	slr1403-as2	-0.13343011896580736	0.2433309466833251
NC_000911.1	1175819	1175913	-	non-coding	SLR1403-AS4	slr1403-as4	SLR1403-AS4-RNA	slr1403-as4	0.3854732422329678	0.361647641194209
NC_000911.1	1176524	1176594	-	non-coding	SLR1403-AS3	slr1403-as3	SLR1403-AS3-RNA	slr1403-as3	0.0026608961459005	-0.02631464847618188
NC_000911.1	1177779	1177881	-	non-coding	SLR1403-AS	slr1403-as	SLR1403-AS-RNA	slr1403-as	-1.2897645572113026	-1.6206395157593518
NC_000911.1	1179926	1180666	-	protein-coding	SGL_RS07350	sll1308	SDR family oxidoreductase	sll1308	-0.08060050469880857	0.08488014632929806
NC_000911.1	1181064	1181609	+	protein-coding	SGL_RS07355	slr1406	heme-binding protein	slr1406	0.06669452657161312	0.2207784420816324
NC_000911.1	1181716	1182585	+	protein-coding	SGL_RS07360	slr1407	hypothetical protein	slr1407	0.05819387739432744	0.2976546284287141
NC_000911.1	1182665	1183645	+	protein-coding	SGL_RS07365	slr1409	WD40 repeat domain-containing protein	slr1409	0.5937889638999828	0.1682735055853306
NC_000911.1	1183660	1184664	+	protein-coding	SGL_RS07370	slr1410	Uncharacterized WD repeat-containing protein slr1410	slr1410	-0.01525670740961289	0.2568943705096566
NC_000911.1	1184711	1185238	-	protein-coding	SGL_RS07375	sll1307	heme-binding protein	sll1307	-2.685318010353409	-1.1620127584315885
NC_000911.1	1185300	1186307	-	protein-coding	SGL_RS07380	sll1306	polysaccharide deacetylase family protein	sll1306	0.02285125113094573	0.16385131486705548
NC_000911.1	1185750	1185825	+	non-coding	SLL1306-AS	sll1306-as	SLL1306-AS-RNA	sll1306-as	0.00848424054252523	0.12756815373711583
NC_000911.1	1186311	1187198	-	protein-coding	SGL_RS07385	sll1305	alpha/beta hydrolase	sll1305	-1.2219351811770731	-1.957199681933017
NC_000911.1	1187219	1188082	-	protein-coding	SGL_RS07390	sll1304	sugar phosphate isomerase/epimerase family protein	sll1304	-0.3223404962578082	-0.8544312576796491
NC_000911.1	1188079	1188885	-	protein-coding	SGL_RS07395	sll1785	cupin domain-containing protein	sll1785	0.446471820095085	0.06717688001656441
NC_000911.1	1189110	1189913	-	protein-coding	SGL_RS07400	sll1784	cupin domain-containing protein	sll1784	0.3874535089881037	0.23516278865636828
NC_000911.1	1189940	1190383	-	protein-coding	SGL_RS07405	sll1783	antibiotic biosynthesis monooxygenase	sll1783	0.506626224798353	0.23223555913670024
NC_000911.1	1190719	1190820	+	non-coding	NCR0480	ncr0480	NCR0480-RNA	ncr0480	-0.05907467346666467	0.24223289854122532
NC_000911.1	1190867	1191433	+	protein-coding	SGL_RS07410	slr1852	hypothetical protein	slr1852	-0.480216658700397	-0.6432033607988864
NC_000911.1	1191445	1191786	+	protein-coding	SGL_RS07415	slr1853	carboxymuconolactone decarboxylase family protein	slr1853	-0.4237035946519859	0.14381254343773156
NC_000911.1	1191856	1192452	+	protein-coding	SGL_RS07420	slr1854	endopeptidase	slr1854	-1.2975885460382564	-0.6314324639188593
NC_000911.1	1192485	1194308	+	protein-coding	SGL_RS07425	slr1855	AGE family epimerase/isomerase	slr1855	-0.38649946854107825	0.04995279554628114
NC_000911.1	1194314	1194643	+	protein-coding	SGL_RS07430	slr1856	anti-sigma factor antagonist	slr1856	-0.8068647874498354	-1.6572665531428432
NC_000911.1	1194601	1194630	-	non-coding	SLR1856-AS	slr1856-as	SLR1856-AS-RNA	slr1856-as	-0.08096422867899147	-0.04046153884890326
NC_000911.1	1194653	1196776	+	protein-coding	SGL_RS07435	glgX1	glycogen debranching protein GlgX	slr1857	-0.150355108370159	-0.0141788572052971
NC_000911.1	1194653	1196776	+	protein-coding	SGL_RS07435	glgX1	glycogen debranching protein GlgX	slr1857	-0.05532260654104975	-0.5890672252847571
NC_000911.1	1195535	1195624	-	non-coding	SLR1857-AS	slr1857-as	SLR1857-AS-RNA	slr1857-as	-2.855325293234582	-1.6975103072197295
NC_000911.1	1196836	1197162	+	protein-coding	SGL_RS07440	slr1859	anti-sigma factor antagonist	slr1859	0.04318642034758056	0.22408463443727647
NC_000911.1	1197262	1199166	+	protein-coding	SGL_RS07445	icfG	carbon metabolism regulatory protein IcfG	slr1860	-0.3733456438971152	-0.09570869224898688
NC_000911.1	1199172	1199603	+	protein-coding	SGL_RS07450	slr1861	anti-sigma regulatory factor	slr1861	-0.7535314444192857	-0.26306828859735737
NC_000911.1	1199172	1199603	+	protein-coding	SGL_RS07450	slr1861	anti-sigma regulatory factor	slr1861	-0.30668832058783335	-0.6676913343245784
NC_000911.1	1199861	1200412	+	protein-coding	SGL_RS07455	slr1862	hypothetical protein	slr1862	0.02993532622185595	0.30441311034672525
NC_000911.1	1201494	1203014	+	protein-coding	SGL_RS07465	slr1863	hypothetical protein	slr1863	0.5524048317627099	0.03360973017041235
NC_000911.1	1203382	1204098	+	protein-coding	SGL_RS07470	slr1864	AEC family transporter	slr1864	-1.0779620169018007	0.07109529136924433
NC_000911.1	1203382	1204098	+	protein-coding	SGL_RS07470	slr1864	AEC family transporter	slr1864	0.25701001331339446	0.05938723120661699
NC_000911.1	1203899	1203975	-	non-coding	SLR1864-AS	slr1864-as	SLR1864-AS-RNA	slr1864-as	0.28551220015825185	-0.14476139924990208
NC_000911.1	1204107	1204245	-	non-coding	SLR1865-AS	slr1865-as	SLR1865-AS-RNA	slr1865-as	0.4056309237956601	0.29009379961638243
NC_000911.1	1204276	1205538	+	protein-coding	SGL_RS07475	slr1865	ABC transporter substrate-binding protein	slr1865	-0.1079278200134726	-0.26370544950432545
NC_000911.1	1205546	1206547	+	protein-coding	SGL_RS07480	slr1866	cache domain-containing protein	slr1866	-0.07686532028320188	0.20875572165649608
NC_000911.1	1205745	1205991	-	non-coding	SLR1866-AS2	slr1866-as2	SLR1866-AS2-RNA	slr1866-as2	0.1870233732621609	0.00583684475496503
NC_000911.1	1206947	1207993	+	protein-coding	SGL_RS07485	trpD	anthranilate phosphoribosyltransferase	slr1867	-1.8974577858430817	-4.461973039193032
NC_000911.1	1208020	1208697	-	protein-coding	SGL_RS07490	deoC	deoxyribose-phosphate aldolase	sll1776	-3.8569237763986055	-3.3516379924372934
NC_000911.1	1208749	1211202	-	protein-coding	SGL_RS07495	sll1775	GH116 family glycosyl hydrolase	sll1775	0.03975486257906423	0.21778245475912775
NC_000911.1	1208749	1211202	-	protein-coding	SGL_RS07495	sll1775	GH116 family glycosyl hydrolase	sll1775	-0.09825826400905624	-0.216996788457348
NC_000911.1	1209751	1209779	+	non-coding	SLL1775-AS	sll1775-as	SLL1775-AS-RNA	sll1775-as	-0.28478008729959975	0.09088714958873206
NC_000911.1	1211302	1211412	+	non-coding	NCR0490	ncr0490	NCR0490-RNA	ncr0490	0.3091294103699551	0.4715472812727436
NC_000911.1	1211638	1212420	-	protein-coding	SGL_RS07505	sll1774	Rpn family recombination-promoting nuclease/putative transposase	sll1774	0.05539664409279726	0.3070640455666981
NC_000911.1	1212609	1213358	+	protein-coding	SGL_RS07510	slr1869	hypothetical protein	slr1869	-1.8340432953023729	-1.5022681241282947
NC_000911.1	1213241	1213317	-	non-coding	SLR1869-AS	slr1869-as	SLR1869-AS-RNA	slr1869-as	-0.3616263905084882	0.42637879150082586
NC_000911.1	1214188	1214937	+	protein-coding	SGL_RS07520	slr1870	NYN domain-containing protein	slr1870	0.23740583864831383	0.11492758720532352
NC_000911.1	1215105	1215138	+	non-coding	NCR0500	ncr0500	NCR0500-RNA	ncr0500	0.6538633965326719	-0.2424791979547805
NC_000911.1	1215450	1215559	+	non-coding	SLL1773-AS	sll1773-as	SLL1773-AS-RNA	sll1773-as	-1.7978264542223752	-2.2954859611500384
NC_000911.1	1215453	1216151	-	protein-coding	SGL_RS07530	sll1773	pirin family protein	sll1773	0.6098728731350151	-0.00131620376700013
NC_000911.1	1216281	1217168	+	protein-coding	SGL_RS07535	pirR	LysR family transcriptional regulator	slr1871	-1.6629619935438589	0.02271201598134975
NC_000911.1	1217156	1219624	-	protein-coding	SGL_RS08315	mutS	endonuclease MutS2	sll1772	0.9983838399655544	-0.604445799876197
NC_000911.1	1219616	1219730	+	non-coding	SLL1771-AS	sll1771-as	SLL1771-AS-RNA	sll1771-as	0.5437657501617678	0.2974295980811063
NC_000911.1	1219654	1220418	-	protein-coding	SGL_RS07545	pphA	protein P-II serine phosphatase	sll1771	-0.07690892396885443	0.12492194100000426
NC_000911.1	1220473	1222230	-	protein-coding	SGL_RS07550	spkI	serine/threonine-protein kinase SpkI	sll1770	0.6215085518893256	0.26073847397579286
NC_000911.1	1220473	1222230	-	protein-coding	SGL_RS07550	spkI	serine/threonine-protein kinase SpkI	sll1770	0.2977420524446527	-0.05724108779482564
NC_000911.1	1222610	1222927	-	protein-coding	SGL_RS07560	sll1769	thylakoid lumen protein	sll1769	-0.8585909670304122	-0.2894648501797476
NC_000911.1	1222937	1223209	-	protein-coding	SGL_RS07565	ssl3383	hypothetical protein	ssl3383	-0.6284708575381828	-0.8530474080311611
NC_000911.1	1223250	1223373	+	non-coding	SSL3382-AS	ssl3382-as	SSL3382-AS-RNA	ssl3382-as	0.400644442884103	0.06120373802507821
NC_000911.1	1223255	1223431	-	protein-coding	SGL_RS19580	ssl3382	hypothetical protein	ssl3382	0.7731546702278578	0.1380997036827792
NC_000911.1	1223666	1224646	-	protein-coding	SGL_RS07570	oppB	oligopeptides ABC transporter permease protein	sll1768	-0.8609417508300108	-0.2602205344516742
NC_000911.1	1224777	1225841	+	protein-coding	SGL_RS07575	ddl	D-alanine--D-alanine ligase	slr1874	-3.9663291582240983	-3.1364862306548167
NC_000911.1	1225928	1226566	+	protein-coding	SGL_RS07580	slr1875	exopolysaccharide biosynthesis protein	slr1875	-1.1570272441887035	-0.6835088984688357
NC_000911.1	1226686	1226982	-	protein-coding	SGL_RS11475	clpS	ATP-dependent Clp protease adapter ClpS	ssl3379	-2.340085234400431	-2.2902417268365656
NC_000911.1	1227090	1227563	+	protein-coding	SGL_RS07590	hoxW	hydrogenase maturation protease	slr1876	-1.3808506669649898	-0.03700327961128845
NC_000911.1	1227591	1227932	-	protein-coding	SGL_RS07595	rpsF	30S ribosomal protein S6	sll1767	1.083104673206474	-1.232605817151683
NC_000911.1	1228237	1229067	+	protein-coding	SGL_RS07600	slr1877	fumarylacetoacetate hydrolase family protein	slr1877	1.1273253488812327	-0.21643324869471953
NC_000911.1	1229120	1229938	+	protein-coding	SGL_RS07605	cpcE	[phycocyanin alpha-subunit]:phycocyanobilin lyase &alpha; subunit	slr1878	1.8908906331601467	-1.9523158205550737
NC_000911.1	1229773	1229919	-	non-coding	SLR1878-AS	slr1878-as	SLR1878-AS-RNA	slr1878-as	0.19936313958614343	0.20452628609496357
NC_000911.1	1229971	1231167	-	protein-coding	SGL_RS07610	grrM	GRRM system radical SAM/SPASM domain protein	sll1766	-0.1554565616907964	0.3419500510543083
NC_000911.1	1231207	1231725	-	protein-coding	SGL_RS07615	sll1765	hypothetical protein	sll1765	0.5269092740490485	0.05458497275652643
NC_000911.1	1231770	1232204	-	protein-coding	SGL_RS07625	grrA	rSAM-associated Gly-rich repeat protein	sll1764	0.387751121476238	0.01408993467438735
NC_000911.1	1232271	1232675	-	protein-coding	SGL_RS07620	grrA	rSAM-associated Gly-rich repeat protein	sll1763	0.2899273650229506	-0.0853735065224677
NC_000911.1	1232784	1233797	-	protein-coding	SGL_RS07630	sll1762	amino acid ABC transporter substrate-binding protein	sll1762	-0.7591539992454948	-0.6781669766159936
NC_000911.1	1233784	1234512	+	protein-coding	SGL_RS07635	cobI/cbiL	precorrin-2 C(20)-methyltransferase	slr1879	-0.5487985628498736	-1.5974612587095438
NC_000911.1	1234509	1235063	-	protein-coding	SGL_RS07640	sll1761	DUF922 domain-containing Zn-dependent protease	sll1761	-0.3115411449453015	-1.2969015550776306
NC_000911.1	1235136	1236056	-	protein-coding	SGL_RS07645	thrB	homoserine kinase	sll1760	-1.2982020851947782	-3.1785343050500994
NC_000911.1	1236316	1237449	+	protein-coding	SGL_RS07650	slr1880	aminoglycoside phosphotransferase family protein	slr1880	-0.6702800919514127	-0.27544186338309634
NC_000911.1	1237543	1238988	-	protein-coding	SGL_RS07655	glmM	phosphoglucosamine mutase	sll1758	-1.56203049180638	0.08600614009331811
NC_000911.1	1239156	1239383	+	protein-coding	SGL_RS07660	fed8	ferredoxin 8	ssr3184	-0.5208385627633807	-1.1375400995883889
NC_000911.1	1239490	1240212	+	protein-coding	SGL_RS07665	natE	neutral amino acids ABC transporter ATP-binding protein	slr1881	-1.3317914360788492	-0.12852707364470178
NC_000911.1	1240361	1241302	+	protein-coding	SGL_RS07670	ribF	riboflavin biosynthesis protein RibF	slr1882	-2.8162584615127737	-1.3420666968220962
NC_000911.1	1241313	1242131	-	protein-coding	SGL_RS07675	sll1757	HpsJ family protein	sll1757	-1.2383139899883966	0.5314482447796858
NC_000911.1	1242336	1242605	+	protein-coding	SGL_RS07680	ssr3188	DUF3143 domain-containing protein	ssr3188	-0.2279188301393224	-0.9205179925779576
NC_000911.1	1242765	1242989	-	protein-coding	SGL_RS07685	cp12	Calvin cycle regulatory protein CP12	ssl3364	-3.18121711348936	-0.05136105481366423
NC_000911.1	1243274	1244287	+	protein-coding	SGL_RS07690	trpS	tryptophan--tRNA ligase	slr1884	-4.634829205980312	-5.629658318421437
NC_000911.1	1244438	1244605	+	protein-coding	SGL_RS19585	ssr3189	hypothetical protein	ssr3189	-2.0243535467922227	-1.4469512455795392
NC_000911.1	1244731	1245309	+	protein-coding	SGL_RS07695	yqeK	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) YqeK	slr1885	0.13118396244301891	0.1277154555668875
NC_000911.1	1245395	1245859	+	protein-coding	SGL_RS07700	rsfS	ribosome silencing factor	slr1886	-1.029649259194061	-3.2711590584586623
NC_000911.1	1245892	1247052	-	protein-coding	SGL_RS07705	sll1755	hypothetical protein	sll1755	-0.3129726236015092	-1.0796548787023954
